freq,waste,wst_oper,unit,geo\TIME_PERIOD	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,W1501,GEN,KG_HAB,AT	138.43 	139.78 	141.39 	146.04 	136.36 	131.03 	142.83 	134.83 	135.08 	141.06 	142.79 	141.82 	139.5 	147.17 	146.82 	148.7 	149.97 	152.52 	151.72 	153.46 	156.52 	159.9 	161.89 	157.34 	164.61 	163.2 	152.37 
A,W1501,GEN,KG_HAB,BE	133.2 	139.8 	144.51 	145.96 	138.39 	144.22 	156.47 	156.6 	158.36 	157.9 	157.07 	157.81 	152.11 	154.74 	154.24 	154.46 	155.77 	155.4 	155.32 	157.13 	156.55 	157.51 	160.62 	167.28 	170.75 	167.1 	166.72 
A,W1501,GEN,KG_HAB,BG	: 	: 	: 	: 	: 	: 	: 	: 	67.92 	48.54 	42.19 	40.33 	40.82 	43.43 	42.82 	45 	48.89 	53.53 	56.2 	61.09 	66.61 	74.13 	83.8 	: 	78.85 	80.92 	: 
A,W1501,GEN,KG_HAB,CY	: 	: 	: 	: 	: 	: 	: 	199.26 	166.63 	83.98 	102.07 	111.19 e	98.71 	95.88 	88.8 	86.75 e	91.2 	84.9 	84.51 	84.71 	88.43 	85.32 	90.83 	90.02 e	90.14 be	95.75 be	: 
A,W1501,GEN,KG_HAB,CZ	: 	: 	: 	: 	: 	: 	70.65 	76.1 	82.99 	87.77 	93.47 	93.18 	85.63 	88.09 	90.06 	91.56 	95.66 	96.89 	103.14 	108.82 	115.03 	122 	125.04 	124.21 bd	136.79 d	131.68 b	125.94 p
A,W1501,GEN,KG_HAB,DE	167.16 	171.73 	178.16 	183.93 	182.37 	187.11 	187.39 	188.05 	187.59 	195.84 	195.86 	195.41 	183.78 	195.69 	205.37 	206.23 	212.37 	219.53 	222.23 	220.55 	226.52 	227.49 	227.55 	225.79 	236.69 	228.63 	215.19 
A,W1501,GEN,KG_HAB,DK	171.58 	157.97 	158.98 	159.61 	161.35 	159.36 	177.49 	175.57 	181.39 	178.56 	179.25 	164.22 	125.65 	125.09 e	158.53 be	160.05 e	159.05 	161.41 	155.26 	163.29 	168.29 	173.1 	163.15 	179.34 	185.26 	191.41 	192.38 
A,W1501,GEN,KG_HAB,EE	: 	: 	: 	: 	: 	: 	: 	96.42 	101.26 	112.96 	121.02 	160.4 	121.08 	118.6 	145.41 	149.15 	169.9 	173.3 	172.14 	169.33 	175.46 	158.15 	157.64 b	154.74 	149.96 	143.21 	139.25 
A,W1501,GEN,KG_HAB,EL	66.67 	74.14 	79.49 	86.48 	89.72 	91.24 	92.79 	94.75 	96.57 	95.82 	95.04 	94.78 e	90.75 	83.39 	78.38 e	70.02 	68.33 	68.66 	68.57 	69.81 	73.13 	75.91 e	81.1 e	: 	97.8 	104.95 	107.65 
A,W1501,GEN,KG_HAB,ES	145.66 	157.08 	154.51 	163.38 	145.67 	153.85 	174.82 	173.42 	178.65 	180.34 	186.17 	174.22 	160.14 	158.65 	152.9 	143.73 	143.67 	147.71 	154.11 	155.64 	161.78 	161.27 	170.1 	168.23 	183.88 	182.8 	179.2 
A,W1501,GEN,KG_HAB,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	158.27 i	160.91 i	161.79 i	161.44 i	149.73 i	153.82 i	156.91 i	154.56 	156.59 	161.42 	165.45 	169.28 	174.18 	173.51 	177.66 	178.18 	190.11 	186.55 	177.81 i
A,W1501,GEN,KG_HAB,FI	81.38 	82.29 	85.68 	85.49 	88.11 	86.78 	118.17 	124.23 	131.3 	128.55 	131.55 	131.89 	122.46 	132.05 	131.7 	132.2 	131.77 	134.01 	130.27 	129.19 	135 	127.93 	131.44 	157.66 	158.74 	159.86 	153.46 p
A,W1501,GEN,KG_HAB,FR	185.02 	193.87 	198.82 	205.7 	201.56 	199.13 	198.68 	198.02 	196.2 	199.69 	200.5 	199.88 	190.34 	193.09 	196.7 	187.3 	184.43 	188.1 	187.36 	190.08 	193.08 	195.49 	187.02 	187.52 	196.82 	185.91 	172.89 
A,W1501,GEN,KG_HAB,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46.52 	46.91 	48.75 	51.86 	55.89 	65.16 	69.44 	76.21 	68.29 	73.87 	82.17 	81.39 p
A,W1501,GEN,KG_HAB,HU	: 	: 	: 	: 	: 	: 	: 	80.64 	84.57 	87.87 	96.27 	100.08 	97.56 	88.08 	84.08 	102.1 	103.55 	110.38 	118.23 	122.46 	129.63 	139.33 	143.92 	155.88 	161.35 	166.47 	152.95 p
A,W1501,GEN,KG_HAB,IE	163.9 	183.88 	187.5 	208.98 	212.17 	216.07 	205.14 	209.06 	222.41 	240.63 	240.05 	228.7 i	214.41 	189.4 	188.55 	176 	188.18 	208.13 	209.14 	208.14 	215.08 	206.76 	226.05 	222.03 	242.41 	231.72 	223.14 
