"code_sous-categorie","pourcentage_bennes_TV","IC_pourcentage_bennes_TV","pourcentage_bennes_metaux","IC_pourcentage_bennes_metaux","pourcentage_bennes_bois","IC_pourcentage_bennes_bois","pourcentage_bennes_EA","IC_pourcentage_bennes_EA","tonnage_bennes_TV","IC_tonnage_bennes_TV","tonnage_bennes_metaux","IC_tonnage_bennes_metaux","tonnage_bennes_bois","IC_tonnage_bennes_bois","tonnage_bennes_EA","IC_tonnage_bennes_EA","ratio_bennes_TV","IC_ratio_bennes_TV","ratio_bennes_metaux","IC_ratio_bennes_metaux","ratio_bennes_bois"," IC_ratio_bennes_bois "," ratio_bennes_EA ","IC_ratio_bennes_EA"
"01.01","0,7%","0,2%","0,03%","0,0%","0,2%","0,4%","0,0%","0,0%",18746,5107,"134","153",2643,4509,"26","25",0.3,0.1,"0,0","0,0",0,0.07,"0,00","0,00"
"01.02","0,4%","0,2%","0,00%","0,0%","0,0%","0,0%","0,0%","0,0%",10843,3895,"18","16",45,50,"26","25",0.2,0.1,"0,0","0,0",0,0,"0,00","0,00"
"01.03","0,1%","0,1%","0,00%","0,0%","0,0%","0,0%","0,0%","0,0%",2432,1776,"9","8",31,45,"51","55",0,0,"0,0","0,0",0,0,"0,00","0,00"
"02.01","0,7%","0,5%","0,01%","0,0%","0,0%","0,0%","0,0%","0,0%",21119,11868,"54","48",51,42,"21","23",0.3,0.2,"0,0","0,0",0,0,"0,00","0,00"
"02.02","2,7%","0,6%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",78749,14351,"69","57",138,102,"193","168",1.2,0.2,"0,0","0,0",0,0,"0,00","0,00"
"02.03","0,8%","0,2%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",22375,5411,"40","39",49,42,"92","135",0.3,0.1,"0,0","0,0",0,0,"0,00","0,00"
"02.04","1,1%","0,3%","0,0%","0,0%","0,0%","0,0%","0,0%","0,1%",30642,6888,"49","48",48,52,"301","496",0.5,0.1,"0,0","0,0",0,0,"0,00","0,01"
"03.01","2,0%","0,3%","0,0%","0,0%","0,0%","0,0%","0,1%","0,0%",57970,8049,"142","141",322,235,"752","472",0.9,0.1,"0,0","0,0",0,0,"0,01","0,01"
"03.02","0,3%","0,1%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",8699,2154,"60","67",228,170,"70","60",0.1,0,"0,0","0,0",0,0,"0,00","0,00"
"03.03","0,1%","0,1%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",1689,1355,"13","11",38,67,"11","18",0,0,"0,0","0,0",0,0,"0,00","0,00"
"03.04","0,3%","0,1%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",7285,2082,"117","195",44,67,"258","331",0.1,0,"0,0","0,0",0,0,"0,00","0,01"
"04.01","0,2%","0,1%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",4432,1985,"124","224",35,48,"23","34",0.1,0,"0,0","0,0",0,0,"0,00","0,00"
"04.02","0,1%","0,1%","0,1%","0,1%","0,0%","0,0%","0,0%","0,0%",3996,1916,"377","665",41,61,"437","478",0.1,0,"0,0","0,0",0,0,"0,01","0,01"
"04.03","0,7%","0,4%","0,1%","0,2%","0,1%","0,1%","0,1%","0,1%",21070,9478,"562","757",628,1029,"530","735",0.3,0.1,"0,0","0,0",0,0.02,"0,01","0,01"
"04.04","0,6%","0,2%","0,4%","0,2%","0,0%","0,0%","0,5%","0,3%",18729,4891,"1 699","1 092",55,56,"4 407","3 152",0.3,0.1,"0,0","0,0",0,0,"0,07","0,05"
"05.01","0,1%","0,1%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",2555,1283,"15","19",2,2,"27","44",0,0,"0,0","0,0",0,0,"0,00","0,00"
"05.02","1,8%","0,3%","0,0%","0,0%","0,0%","0,0%","0,6%","0,3%",53027,6803,"25","29",14,25,"5 806","2 945",0.8,0.1,"0,0","0,0",0,0,"0,09","0,04"
"05.03","0,1%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",2063,841,"2","3",2,2,"104","117",0,0,"0,0","0,0",0,0,"0,00","0,00"
"05.04","5,0%","0,7%","0,0%","0,0%","0,0%","0,0%","0,1%","0,1%",144787,19976,"66","58",119,171,"985","668",2.2,0.3,"0,0","0,0",0,0,"0,01","0,01"
"05.05","1,0%","0,3%","0,0%","0,0%","0,0%","0,0%","0,1%","0,0%",27423,6640,"110","132",85,165,"589","421",0.4,0.1,"0,0","0,0",0,0,"0,01","0,01"
"05.06","0,5%","0,4%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",15536,8091,"43","37",4,2,"333","263",0.2,0.1,"0,0","0,0",0,0,"0,01","0,00"
"06.01","0,2%","0,1%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",5081,1609,"1","1",9,14,"5","9",0.1,0,"0,0","0,0",0,0,"0,00","0,00"
"07.01","0,3%","0,1%","0,0%","0,0%","0,0%","0,0%","0,1%","0,1%",9172,2764,"2","4",19,25,"487","580",0.1,0,"0,0","0,0",0,0,"0,01","0,01"
"07.02","2,3%","0,4%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",65860,9649,"167","167",105,69,"275","252",1,0.1,"0,0","0,0",0,0,"0,00","0,00"
"07.03","1,5%","0,4%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",43810,8646,"108","134",159,280,"258","293",0.7,0.1,"0,0","0,0",0,0,"0,00","0,00"
"07.04","0,7%","0,4%","0,0%","0,0%","0,0%","0,0%","0,1%","0,1%",18931,7846,"50","70",17,20,"935","987",0.3,0.1,"0,0","0,0",0,0,"0,01","0,01"
"07.05","0,1%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%",1617,635,"-","-",7,6,"202","326",0,0,"-","-",0,0,"0,00","0,00"
