"ANNEE","C_REGION","L_REGION","C_DEPT","N_DEPT","C_TYP_REG_DECHET","L_TYP_REG_DECHET","TONNAGE_T","VA_POPANNEE","RATIO_KG_HAB"
"2009","84","Auvergne-Rhône-Alpes","01","Ain","08A","Ordures ménagères résiduelles",134208.68,588853,227.92
"2009","84","Auvergne-Rhône-Alpes","01","Ain","08B","Emballages, journaux-magazines",23003.98,588853,39.07
"2009","84","Auvergne-Rhône-Alpes","01","Ain","08C","Verre",19661,588853,33.39
"2009","84","Auvergne-Rhône-Alpes","03","Allier","08A","Ordures ménagères résiduelles",105182.37,343046,306.61
"2009","84","Auvergne-Rhône-Alpes","03","Allier","08B","Emballages, journaux-magazines",14045.71,343046,40.94
"2009","84","Auvergne-Rhône-Alpes","03","Allier","08C","Verre",11011.32,343046,32.1
"2009","84","Auvergne-Rhône-Alpes","07","Ardèche","08A","Ordures ménagères résiduelles",89088.42,313578,284.1
"2009","84","Auvergne-Rhône-Alpes","07","Ardèche","08B","Emballages, journaux-magazines",12432.73,313578,39.65
"2009","84","Auvergne-Rhône-Alpes","07","Ardèche","08C","Verre",10628.16,313578,33.89
"2009","84","Auvergne-Rhône-Alpes","15","Cantal","08A","Ordures ménagères résiduelles",56636.92,148380,381.7
"2009","84","Auvergne-Rhône-Alpes","15","Cantal","08B","Emballages, journaux-magazines",5261.73,148380,35.46
"2009","84","Auvergne-Rhône-Alpes","15","Cantal","08C","Verre",4219.05,148380,28.43
"2009","84","Auvergne-Rhône-Alpes","26","Drôme","08A","Ordures ménagères résiduelles",131079.43,482984,271.39
"2009","84","Auvergne-Rhône-Alpes","26","Drôme","08B","Emballages, journaux-magazines",19591.27,482984,40.56
"2009","84","Auvergne-Rhône-Alpes","26","Drôme","08C","Verre",13983.43,482984,28.95
"2009","84","Auvergne-Rhône-Alpes","38","Isère","08A","Ordures ménagères résiduelles",292381.39,1197038,244.25
"2009","84","Auvergne-Rhône-Alpes","38","Isère","08B","Emballages, journaux-magazines",61819.06,1197038,51.64
"2009","84","Auvergne-Rhône-Alpes","38","Isère","08C","Verre",32753.34,1197038,27.36
"2009","84","Auvergne-Rhône-Alpes","42","Loire","08A","Ordures ménagères résiduelles",204364.35,746115,273.9
"2009","84","Auvergne-Rhône-Alpes","42","Loire","08B","Emballages, journaux-magazines",30843.47,746115,41.34
"2009","84","Auvergne-Rhône-Alpes","42","Loire","08C","Verre",17536.28,746115,23.5
"2009","84","Auvergne-Rhône-Alpes","43","Haute-Loire","08A","Ordures ménagères résiduelles",57687.52,223122,258.55
"2009","84","Auvergne-Rhône-Alpes","43","Haute-Loire","08B","Emballages, journaux-magazines",8595.32,223122,38.52
"2009","84","Auvergne-Rhône-Alpes","43","Haute-Loire","08C","Verre",5941.2,223122,26.63
"2009","84","Auvergne-Rhône-Alpes","63","Puy-de-Dôme","08A","Ordures ménagères résiduelles",158708.51,629416,252.15
"2009","84","Auvergne-Rhône-Alpes","63","Puy-de-Dôme","08B","Emballages, journaux-magazines",37533.28,629416,59.63
"2009","84","Auvergne-Rhône-Alpes","63","Puy-de-Dôme","08C","Verre",17674.77,629416,28.08
"2009","84","Auvergne-Rhône-Alpes","69","Rhône","08A","Ordures ménagères résiduelles",415659.05,1708671,243.26
"2009","84","Auvergne-Rhône-Alpes","69","Rhône","08B","Emballages, journaux-magazines",79765.12,1708671,46.68
"2009","84","Auvergne-Rhône-Alpes","69","Rhône","08C","Verre",37757.32,1708671,22.1
"2009","84","Auvergne-Rhône-Alpes","73","Savoie","08A","Ordures ménagères résiduelles",137352.81,411007,334.19
"2009","84","Auvergne-Rhône-Alpes","73","Savoie","08B","Emballages, journaux-magazines",22608.66,411007,55.01
"2009","84","Auvergne-Rhône-Alpes","73","Savoie","08C","Verre",19184.31,411007,46.68
"2009","84","Auvergne-Rhône-Alpes","74","Haute-Savoie","08A","Ordures ménagères résiduelles",235445.41,725794,324.4
